Tabel 1
SAMPLE,IPUMS sample identifier,SUBSAMP,,Subsample number,HHTYPE,,Household Type,REGION,,Census region and division,STATEFIP,,State (FIPS code),METRO,,Metropolitan status,CITY,,City,CITYERR,,Coverage error in CITY variable,HOMELAND,,"American Indian, Alaska Native, or Native Hawaiian homeland area",CNTRY,,Country,GQ,,Group quarters status,GQTYPE,,Group quarters type [general version],GQTYPED,,Group quarters type [detailed version],FARM,,Farm status,OWNERSHP,,Ownership of dwelling (tenure) [general version],OWNERSHPD,,Ownership of dwelling (tenure) [detailed version],MORTGAGE,,Mortgage status,MORTGAG2,,Second mortgage status,ACREHOUS,,House acreage,TAXINCL,,Mortgage payment includes property taxes,INSINCL,,Mortgage payment includes property insurance,PROPTX99,,"Annual property taxes, 1990",RENTMEAL,,Meals included in rent,UNITSSTR,,Units in structure,BEDROOMS,,Number of bedrooms,NFAMS,,Number of families in household,NSUBFAM,,Number of subfamilies in household,NCOUPLES,,Number of couples in household,NMOTHERS,,Number of mothers in household,NFATHERS,,Number of fathers in household,MULTGEN,,Multigenerational household [general version],MULTGEND,,Multigenerational household [detailed version],CBNSUBFAM,,Number of subfamilies in household (original Census Bureau classification),FAMUNIT,,Family unit membership,SFTYPE,,Subfamily type,SFRELATE,,Relationship within subfamily,CBSUBFAM,,Subfamily number (original Census Bureau classification),CBSFTYPE,,Subfamily type (original Census Bureau classification),CBSFRELATE,,Subfamily relationship (original Census Bureau classification),MOMRULE,,Rule for linking mother (new),POPRULE,,Rule for linking father (new),SPRULE,,Rule for linking spouse or partner (new),MOM2RULE,,Rule for linking second mother (new),POP2RULE,,Rule for linking second father (new),NCHILD,,Number of own children in the household,NCHLT5,,Number of own children under age 5 in household,NSIBS,,Number of own siblings in household,ELDCH,,Age of eldest own child in household,YNGCH,,Age of youngest own child in household,RELATE,,Relationship to household head [general version],RELATED,,Relationship to household head [detailed version],SEX,Sex,AGE,Age,MARST,Marital status,MARRNO,Times married,MARRINYR,Married within the past year,DIVINYR,Divorced in the past year,WIDINYR,Widowed in the past year,FERTYR,Children born within the last year,RACE,Race [general version],RACED,Race [detailed version],HISPAN,Hispanic origin [general version],HISPAND,Hispanic origin [detailed version],BPL,Birthplace [general version],BPLD,Birthplace [detailed version],ANCESTR1,"Ancestry, first response [general version]",ANCESTR2,"Ancestry, second response [general version]",ANCESTR2D,"Ancestry, second response [detailed version]",CITIZEN,Citizenship status,YRSUSA2,"Years in the United States, intervalled",LANGUAGE,Language spoken [general version],LANGUAGED,Language spoken [detailed version],SPEAKENG,Speaks English,TRIBE,Tribe [general version],TRIBED,Tribe [detailed version],EDUC,Educational attainment [general version],EDUCD,Educational attainment [detailed version],GRADEATT,Grade level attending [general version],GRADEATTD,Grade level attending [detailed version],SCHLTYPE,Public or private school,DEGFIELD,Field of degree [general version],DEGFIELDD,Field of degree [detailed version],EMPSTAT,Employment status [general version],EMPSTATD,Employment status [detailed version],LABFORCE,Labor force status,CLASSWKR,Class of worker [general version],CLASSWKRD,Class of worker [detailed version],OCC1950,"Occupation, 1950 basis",OCC1990,"Occupation, 1990 basis",IND1950,"Industry, 1950 basis",WRKLSTWK,Worked last week,ABSENT,Absent from work last week,LOOKING,Looking for work,AVAILBLE,Available for work,WRKRECAL,Informed of work recall,WORKEDYR,Worked last year,MIGRATE1,"Migration status, 1 year [general version]",MIGRATE1D,"Migration status, 1 year [detailed version]",MIGPLAC1,State or country of residence 1 year ago,MIGMET131,Metropolitan area of residence 1 year ago (2013 delineations),MIGTYPE1,Metropolitan status 1 year ago,PWSTATE2,Place of work: state,PWMET13,Place of work: metropolitan area (2013 delineations),PWTYPE,Place of work: metropolitan status,TRANWORK,Means of transportation to work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197007,1970 Puerto Rico State,96,,96,,,,,,,,,,,,,701,,"Bellevue, PA",,,,,,,,,,,,,,,,999,,"Fragment (boarders and lodgers, 1900)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,96,96,,96,,,,9997,,Unknown,,,96,96,,,,,,,,,,,,,,,673,Chinese and Japanese,,,,,429,"Western Europe, ns",15031,Upper Canada,101,Azerbaijani,101,Azerbaijani,670,Sardinian,,,,,,,,Other Persian dialects:,,,2089,Pequot,204700,Iroquois,,,,,,,,,,,,,3699,Miscellaneous Biology,,,,,,,,,,,280,Purchasing agents and buyers (nec),158,Special education teachers,,Wholesale and Retail Trade:,,,,,,,,,,,,,,,,,411,Scotland,24020,"Glens Falls, NY",,,,,24020,"Glens Falls, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197006,1970 Form 2 Neighborhood,97,,97,,,,,,,,,,,,,702,,"Belmont, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,97,97,,97,,,,9998,,Illegible,,,97,97,,,,,,,,,,,,,,,674,Chinese and Filipino,,,,,,Southern Europe:,15032,Canada West,102,Belorussian,102,Belourussian,680,Sicilian,,,,,,,3000,Other Persian dialects,,,2090,Pima,204701,Iroquois - Cayuga,,,,,,,,,,,,,3700,Mathematics,,,,,,,,,,,290,"Managers, officials, and proprietors (nec)",159,"Teachers , n.e.c.",,Wholesale Trade:,,,,,,,,,,,,,,,,,412,Wales,24140,"Goldsboro, NC",,,,,24140,"Goldsboro, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197005,1970 Form 1 Neighborhood,98,,98,,,,,,,,,,,,,703,,"Belmont, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,98,98,,98,,,,9999,,Missing,,,98,98,,,,,,,,,,,,,,,675,Chinese and Vietnamese,,,,,430,Albania,15040,New Brunswick,103,Bulgarian,103,Bulgarian,690,Toscana,,,,,,,3010,"Pashto, Afghan",,,2091,Pit River,204702,Iroquois - Mohawk,,,,,,,,,,,,,3701,Applied Mathematics,,,,,,,,,,,,Clerical and Kindred,163,Vocational and educational counselors,606,Motor vehicles and equipment,,,,,,,,,,,,,,,,,413,United Kingdom (excluding England: 2005ACS),24300,"Grand Junction, CO",,,,,24300,"Grand Junction, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197004,1970 Form 2 Metro,99,,99,,,,,,,,,,,,,704,,"Beloit, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,N/A,99,,N/A,,,,,,,,,99,99,,,,,,,,,,,,,,,676,Chinese and Asian write_in,,,,,431,Andorra,15050,Nova Scotia,105,Carpathian,105,Carpathian,700,Trentino,,,,,,,3020,Kurdish,,,2092,Pomo,204703,Iroquois - Oneida,,,,,,,,,,,,,3702,Statistics and Decision Science,,,,,,,,,,,300,Agents (nec),,"Librarians, Archivists, and Curators:",607,"Drugs, chemicals, and allied products",,,,,,,,,,,,,,,,,414,Ireland,24340,"Grand Rapids-Wyoming, MI",,,,,24340,"Grand Rapids-Wyoming, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197003,1970 Form 1 Metro,,,,,,,,,,,,,,,,705,,"Bennington, VT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100 (100+ in 1960-1970),,,,,,,,,,,,,,,677,Japanese and Filipino,,,,,432,Gibraltar,15051,Cape Breton,,Cossack:,108,Cossack,710,Umbrian,,,,,,,3030,Balochi,,,2093,Ponca,204704,Iroquois - Onondaga,,,,,,,,,,,,,3801,Military Technologies,,,,,,,,,,,301,"Attendants and assistants, library",164,Librarians,608,Dry goods apparel,,,,,,,,,,,,,,,,,415,Northern Ireland,24540,"Greeley, CO",,,,,24540,"Greeley, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197002,1970 Form 2 State,,,,,,,,,,,,,,,,706,,"Benton Harbor, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,101,,,,,,,,,,,,,,,678,Asian Indian and Asian write_in,,,,,433,Greece,15052,Halifax,108,Cossack,109,Croatian,720,Valle dAosta,,,,,,,3040,Tadzhik,,,2094,Potawatomie,204705,Iroquois - Seneca,,,,,,,,,,,,,4000,Interdisciplinary and Multi-Disciplinary Studies (General),,,,,,,,,,,302,"Attendants, physicians and dentists office",165,Archivists and curators,609,Food and related products,,,,,,,,,,,,,,,,,419,Other Northern Europe,24660,"Greensboro-High Point, NC",,,,,24660,"Greensboro-High Point, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197001,1970 Form 1 State,,,,,,,,,,,,,,,,710,,"Berkeley, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,102,,,,,,,,,,,,,,,679,Other Asian race combinations,,,,,434,Italy,15060,Prince Edward Island,109,Croatian,111,Czechoslovakian,730,Venetian,,,,,,,3050,Ossete,,,2095,Powhatan,204706,Iroquois - Tuscarora,,,,,,,,,,,,,4001,Intercultural and International Studies,,,,,,,,,,,304,"Baggagemen, transportation",,Social Scientists and Urban Planners:,616,"Electrical goods, hardware, and plumbing equipment",,,,,,,,,,,,,,,,,420,Belgium,24780,"Greenville, NC",,,,,24780,"Greenville, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196002,1960 5%,,,,,,,,,,,,,,,,711,,"Berlin, NH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,103,,,,,,,,,,,,,,,,Polynesian region (also includes Hawaii):,,,,,435,Malta,15070,Newfoundland,111,Czechoslovakian,112,Bohemian,750,Lapp,,,,,,,3100,Hindi and related,,,2096,Pueblo,204707,Iroquois - Wyandotte,,,,,,,,,,,,,4002,Nutrition Sciences,,,,,,,,,,,305,Bank tellers,166,"Economists, market researchers, and survey researchers",617,"Machinery, equipment, and supplies",,,,,,,,,,,,,,,,,421,France,24860,"Greenville-Anderson-Mauldin, SC",,,,,24860,"Greenville-Anderson-Mauldin, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196001,1960 1%,,,,,,,,,,,,,,,,712,,"Berwick, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,104,,,,,,,,,,,,,,,680,Samoan,,,,,436,Portugal,15080,French Canada,112,Bohemian,115,Estonian,760,Liechtensteiner,,,,,,,3101,"Hindi, Hindustani, Indic, Jaipuri, Pali, Urdu",,,2097,Puget Sound Salish,204708,Iroquois - Amerind White,,,,,,,,,,,,,4003,Neuroscience,,,,,,,,,,,310,Bookkeepers,167,Psychologists,618,Petroleum products,,,,,,,,,,,,,,,,,422,Luxembourg,25060,"Gulfport-Biloxi-Pascagoula, MS",,,,,25060,"Gulfport-Biloxi-Pascagoula, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195001,1950 1%,,,,,,,,,,,,,,,,720,,"Berwyn, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,105,,,,,,,,,,,,,,,681,Tahitian,,,,,437,San Marino,15081,Quebec,115,Estonian,116,Livonian,770,Luxemburger,,,,,,,3102,Hindi,,,2098,Quapaw,204800,Kalispel,,,,,,,,,,,,,4005,Mathematics and Computer Science,,,,,,,,,,,320,Cashiers,168,Sociologists,619,Farm prods--raw materials,,,,,,,,,,,,,,,,,425,Netherlands,25220,"Hammond, LA",,,,,25220,"Hammond, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194002,1940 100% database,,,,,,,,,,,,,,,,721,,"Bessemer, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,106,,,,,,,,,,,,,,,682,Tongan,,,,,438,Spain,15082,Lower Canada,116,Livonian,117,Finno Ugrian,780,Maltese,,,,,,,3103,Urdu,,,2099,Quinault,204900,Karok/Karuk,,,,,,,,,,,,,4006,Cognitive Science and Biopsychology,,,,,,,,,,,321,"Collectors, bill and account",169,"Social scientists, n.e.c.",626,Misc wholesale trade,,,,,,,,,,,,,,,,,426,Switzerland,25260,"Hanford-Corcoran, CA",,,,,25260,"Hanford-Corcoran, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194001,1940 1%,,,,,,,,,,,,,,,,730,,"Bethlehem, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,107,,,,,,,,,,,,,,,683,Other Polynesian (1990),,,,,439,Vatican City,15083,Canada East,117,Finno Ugrian,118,Mordovian,790,Manx,,,,,,,3104,Other Indo-Iranian languages,,,2100,Sac and Fox,205000,Kaw,,,,,,,,,,,,,4007,Interdisciplinary Social Sciences,,,,,,,,,,,322,"Dispatchers and starters, vehicle",173,Urban and regional planners,627,Not specified wholesale trade,,,,,,,,,,,,,,,,,429,Other Western Europe,25420,"Harrisburg-Carlisle, PA",,,,,25420,"Harrisburg-Carlisle, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193004,1930 100% database,,,,,,,,,,,,,,,,740,,"Biddeford, ME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,108,,,,,,,,,,,,,,,684,"1+ other Polynesian races (2000,ACS)",,,,,440,"Southern Europe, ns",15500,St. Pierre and Miquelon,118,Mordovian,119,Voytak,800,Monegasque,,,,,,,,Other Indo-Aryan:,,,2101,Salish,205100,Kickapoo,,,,,,,,,,,,,4008,Multi-disciplinary or General Science,,,,,,,,,,,325,Express messengers and railway mail clerks,,"Social, Recreation, and Religious Workers:",,Retail Trade:,,,,,,,,,,,,,,,,,430,Albania,25500,"Harrisonburg, VA",,,,,25500,"Harrisonburg, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193003,1930 Puerto Rico,,,,,,,,,,,,,,,,741,,"Big Spring, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,109,,,,,,,,,,,,,,,,Micronesian region:,,,,,,Central/Eastern Europe:,16000,Atlantic Islands,119,Voytak,120,Georgian,810,Northern Irelander,,,,,,,3110,Other Indo-Aryan,,,2102,Seminole,205200,Kiowa,,,,,,,,,,,,,4101,"Physical Fitness, Parks, Recreation, and Leisure",,,,,,,,,,,335,Mail carriers,174,Social workers,636,"Food stores, except dairy",,,,,,,,,,,,,,,,,433,Greece,25540,"Hartford-West Hartford-East Hartford, CT",,,,,25540,"Hartford-West Hartford-East Hartford, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193002,1930 5%,,,,,,,,,,,,,,,,742,,"Billings, MT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,110,,,,,,,,,,,,,,,685,Guamanian/Chamorro,,,,,450,Austria,16010,Bermuda,120,Georgian,122,Germans from Russia,820,Norwegian,,,,,,,3111,Sanskrit,,,2103,Serrano,,Klallam/S'Kallam,,,,,,,,,,,,,4801,Philosophy and Religious Studies,,,,,,,,,,,340,Messengers and office boys,175,Recreation workers,637,Dairy prods stores and milk retailing,,,,,,,,,,,,,,,,,434,Dodecanese Islands,25620,"Hattiesburg, MS",,,,,25620,"Hattiesburg, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193001,1930 1%,,,,,,,,,,,,,,,,743,,"Biloxi, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,111,,,,,,,,,,,,,,,686,Northern Mariana Islander,,,,,451,Bulgaria,16020,Cape Verde,122,Germans from Russia,123,Gruziia,840,Portuguese,,,,,,,3112,Bengali,,,2104,Shasta,205301,Klallam,,,,,,,,,,,,,4901,Theology and Religious Vocations,,,,,,,,,,,341,Office machine operators,176,Clergy and religious workers,646,General merchandise,,,,,,,,,,,,,,,,,435,Italy,25860,"Hickory-Lenoir-Morganton, NC",,,,,25860,"Hickory-Lenoir-Morganton, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192003,1920 100% database,,,,,,,,,,,,,,,,750,,"Binghamton, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,112 (112+ in the 1980 internal data),,,,,,,,,,,,,,,687,Palauan,,,,,452,Czechoslovakia,16030,Falkland Islands,123,Gruziia,124,Rom,850,Azorean,,,,,,,3113,Panjabi,,,2105,Shawnee,205302,Port Gamble Klallam,,,,,,,,,,,,,5000,Physical Sciences,,,,,,,,,,,342,Shipping and receiving clerks,,Lawyers and Judges:,647,Five and ten cent stores,,,,,,,,,,,,,,,,,436,Portugal,25940,"Hilton Head Island-Bluffton-Beaufort, SC",,,,,25940,"Hilton Head Island-Bluffton-Beaufort, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192002,1920 Puerto Rico sample,,,,,,,,,,,,,,,,760,,"Beverly, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,113,,,,,,,,,,,,,,,688,Other Micronesian (1990),,,,,453,Germany,16040,Greenland,124,Rom,125,Hungarian,860,Madeiran,,,,,,,3114,Marathi,,,2106,Shinnecock,205400,Klamath,,,,,,,,,,,,,5001,Astronomy and Astrophysics,,,,,,,,,,,350,"Stenographers, typists, and secretaries",178,Lawyers,656,"Apparel and accessories stores, except shoe",,,,,,,,,,,,,,,,,437,Azores,26140,"Homosassa Springs, FL",,,,,26140,"Homosassa Springs, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192001,1920 1%,,,,,,,,,,,,,,,,761,,"Beverly Hills, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,114,,,,,,,,,,,,,,,689,"1+ other Micronesian races (2000,ACS)",,,,,454,Hungary,16050,St. Helena and Ascension,125,Hungarian,126,Magyar,870,Scotch Irish,,,,,,,3115,Gujarathi,,,2107,Shoshone,205500,Konkow,,,,,,,,,,,,,5002,Atmospheric Sciences and Meteorology,,,,,,,,,,,360,Telegraph messengers,179,Judges,657,Shoe stores,,,,,,,,,,,,,,,,,438,Spain,26380,"Houma-Thibodaux, LA",,,,,26380,"Houma-Thibodaux, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191004,1910 100% database,,,,,,,,,,,,,,,,770,,"Birmingham, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,115 (115+ in the 1990 internal data),,,,,,,,,,,,,,,,Melanesian region:,,,,,455,Poland,16060,Canary Islands,126,Magyar,128,Latvian,880,Scottish,,,,,,,3116,Bihari,,,2108,Shoshone Paiute/Paiute Shoshone,205600,Kootenai,,,,,,,,,,,,,5003,Chemistry,,,,,,,,,,,365,Telegraph operators,,"Writers, Artists, Entertainers, and Athletes:",658,Furniture and house furnishings stores,,,,,,,,,,,,,,,,,450,Austria,26420,"Houston-The Woodlands-Sugar Land, TX",,,,,26420,"Houston-The Woodlands-Sugar Land, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191003,1910 1.4% sample with oversamples,,,,,,,,,,,,,,,,771,,"Birmingham, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,116,,,,,,,,,,,,,,,690,Fijian,,,,,456,Romania,19900,"North America, ns",128,Latvian,129,Lithuanian,890,Swedish,,,,,,,3117,Rajasthani,,,2109,Siletz,,Latin American,,,,,,,,,,,,,5004,Geology and Earth Science,,,,,,,,,,,370,Telephone operators,183,Writers and authors,659,Household appliance and radio stores,,,,,,,,,,,,,,,,,451,Bulgaria,26620,"Huntsville, AL",,,,,26620,"Huntsville, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191002,1910 1%,,,,,,,,,,,,,,,,772,,"Bismarck, ND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,117,,,,,,,,,,,,,,,691,Other Melanesian (1990),,,,,457,Yugoslavia,,CENTRAL AMERICA AND CARIBBEAN,129,Lithuanian,130,Macedonian,900,Aland Islander,,,,,,,3118,Oriya,,,2110,Sioux,205701,Central American Indian,,,,,,,,,,,,,5005,Geosciences,,,,,,,,,,,380,"Ticket, station, and express agents",184,Technical writers,667,Motor vehicles and accessories retailing,,,,,,,,,,,,,,,,,452,Czechoslovakia,26900,"Indianapolis-Carmel-Anderson, IN",,,,,26900,"Indianapolis-Carmel-Anderson, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191001,1910 Puerto Rico,,,,,,,,,,,,,,,,780,,"Bloomfield, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,118,,,,,,,,,,,,,,,692,"1+ other Melanesian races (2000,ACS)",,,,,458,"Central Europe, ns",20000,Mexico,130,Macedonian,132,North Caucasian,910,Swiss,,,,,,,3119,Assamese,,,2111,Spokane,205702,Tohono O'Odham - Central American Indian,,,,,,,,,,,,,5006,Oceanography,,,,,,,,,,,390,Clerical and kindred workers (n.e.c.),185,Designers,668,Gasoline service stations,,,,,,,,,,,,,,,,,453,Germany,26980,"Iowa City, IA",,,,,26980,"Iowa City, IA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
